City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Oum Hadjer,TD,2022-02-08 15:39:46,13.2954,19.6966,85.21,9,0,4.92
67,Kapaa,US,2022-02-08 15:39:46,22.0752,-159.319,71.92,82,0,13.8
68,Havre-Saint-Pierre,CA,2022-02-08 15:39:46,50.2334,-63.5986,21.79,85,100,18.41
69,Hammerfest,NO,2022-02-08 15:39:47,70.6634,23.6821,31.73,74,20,20.71
70,Tiksi,RU,2022-02-08 15:39:47,71.6872,128.8694,-23.44,99,58,7.31
71,Hailar,CN,2022-02-08 15:39:47,49.2,119.7,4.23,95,99,7.14
72,Chernyshevskiy,RU,2022-02-08 15:39:48,63.0128,112.4714,-18.96,97,100,4.34
73,Qaanaaq,GL,2022-02-08 15:39:48,77.484,-69.3632,-9.69,95,100,6.51
74,Mataura,NZ,2022-02-08 15:39:48,-46.1927,168.8643,49.48,99,37,2.59
75,Gamba,GA,2022-02-08 15:39:49,-2.65,10.0,80.55,81,100,8.9
76,Iqaluit,CA,2022-02-08 15:39:49,63.7506,-68.5145,-2.31,70,100,13.8
77,Tromso,NO,2022-02-08 15:39:49,69.6496,18.957,32.02,59,75,18.41
78,Atambua,ID,2022-02-08 15:38:38,-9.1061,124.8925,74.48,91,97,2.68
79,Yellowknife,CA,2022-02-08 15:35:48,62.456,-114.3525,-18.58,77,75,6.91
80,Karur,IN,2022-02-08 15:39:50,10.95,78.0833,75.06,66,24,13.44
81,The Pas,CA,2022-02-08 15:39:50,53.8251,-101.2541,33.82,93,100,19.57
82,Quelimane,MZ,2022-02-08 15:39:50,-17.8786,36.8883,82.35,78,75,11.5
83,Chifeng,CN,2022-02-08 15:39:51,42.2683,118.9636,21.97,42,62,6.33
84,Dukat,RU,2022-02-08 15:39:51,62.55,155.55,-21.37,68,94,2.55
85,Praya,CV,2022-02-08 15:39:51,14.9215,-23.5087,82.94,42,0,11.5
86,Havre,FR,2022-02-08 15:39:52,49.5833,0.3333,51.44,87,100,11.5
87,Bluff,NZ,2022-02-08 15:39:52,-46.6,168.3333,49.8,91,34,10.07
88,Tilichiki,RU,2022-02-08 15:39:52,60.4667,166.1,-16.53,88,71,9.24
89,Balabac,PH,2022-02-08 15:39:53,7.9868,117.0645,80.17,84,98,13.56
90,Makushino,RU,2022-02-08 15:40:53,55.2103,67.2442,13.5,94,59,10.0
91,Sioux Lookout,CA,2022-02-08 15:40:32,50.1001,-91.917,14.07,79,75,13.8
92,Saskylakh,RU,2022-02-08 15:40:53,71.9167,114.0833,-1.39,88,100,12.57
93,Chicama,PE,2022-02-08 15:40:54,-7.8447,-79.1469,70.34,58,61,8.68
94,Jamestown,US,2022-02-08 15:39:45,42.097,-79.2353,29.08,63,100,14.0
95,Paamiut,GL,2022-02-08 15:40:54,61.994,-49.6678,0.01,79,49,8.01
96,Port Alfred,ZA,2022-02-08 15:40:54,-33.5906,26.891,79.61,74,1,13.65
97,Hermanus,ZA,2022-02-08 15:38:12,-34.4187,19.2345,76.89,77,16,9.57
98,Oktyabrskiy,RU,2022-02-08 15:40:55,54.4815,53.471,16.0,97,100,2.24
99,Ponta Delgada,PT,2022-02-08 15:36:00,37.7333,-25.6667,63.5,72,40,6.91
100,Lata,PT,2022-02-08 15:40:55,40.1629,-8.3327,70.03,43,0,7.14
101,Albany,US,2022-02-08 15:38:27,42.6001,-73.9662,36.12,77,93,10.0
102,Dudinka,RU,2022-02-08 15:40:56,69.4058,86.1778,-2.38,92,100,19.84
103,Nong Ki,TH,2022-02-08 15:40:56,14.6868,102.538,89.62,43,92,3.51
104,Santa Rosa,PH,2022-02-08 15:40:56,14.3122,121.1114,81.1,78,16,11.74
105,Sunyani,GH,2022-02-08 15:40:56,7.3399,-2.3268,98.83,10,19,5.97
106,College,US,2022-02-08 15:40:57,64.8569,-147.8028,-4.05,77,75,5.75
107,Rio Gallegos,AR,2022-02-08 15:40:57,-51.6226,-69.2181,59.05,31,40,28.77
108,Touros,BR,2022-02-08 15:40:57,-5.1989,-35.4608,88.7,54,65,15.12
109,Ust-Nera,RU,2022-02-08 15:40:58,64.5667,143.2,-27.31,89,86,2.73
110,Tieli,CN,2022-02-08 15:40:58,46.95,128.05,-1.21,100,100,4.18
111,Kamarion,GR,2022-02-08 15:40:58,36.8,25.8167,45.82,79,93,41.36
112,Hohhot,CN,2022-02-08 15:40:59,40.8106,111.6522,10.69,52,0,4.47
113,Ulladulla,AU,2022-02-08 15:40:59,-35.35,150.4667,61.7,89,32,3.29
114,Aksay,RU,2022-02-08 15:40:59,47.26,39.87,43.02,80,100,8.99
115,Nanortalik,GL,2022-02-08 15:41:00,60.1432,-45.2371,13.73,58,1,37.02
116,Salalah,OM,2022-02-08 15:41:00,17.0151,54.0924,78.89,13,0,19.57
117,Bengkulu,ID,2022-02-08 15:41:01,-3.8004,102.2655,76.59,85,100,5.84
118,Puri,IN,2022-02-08 15:41:01,19.8,85.85,72.12,68,38,9.22
119,San Cristobal,VE,2022-02-08 15:41:01,7.7669,-72.225,73.58,48,86,6.2
