City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Avarua,CK,-21.2078,-159.775,71.65,100,75,2.3,broken clouds
79,Santander,ES,43.4647,-3.8044,58.3,68,89,5.01,overcast clouds
80,Falun,SE,60.6036,15.626,35.22,67,76,4.54,broken clouds
81,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,80.53,89,75,3.44,broken clouds
82,Tahlequah,US,35.9154,-94.97,59.22,17,0,9.22,clear sky
83,Adrasmon,TJ,40.6472,69.9856,27.52,62,78,8.19,broken clouds
84,Ostrovnoy,RU,68.0531,39.5131,25.88,86,100,21.72,overcast clouds
85,Diego De Almagro,CL,-26.3667,-70.05,79.61,23,0,15.05,clear sky
86,Culpeper,US,38.5004,-77.9664,58.95,34,75,14.97,broken clouds
87,Chokurdakh,RU,70.6333,147.9167,-25.31,95,87,9.1,overcast clouds
88,Harper,LR,4.375,-7.7169,81.77,79,48,9.86,scattered clouds
89,Itarema,BR,-2.9248,-39.9167,86.27,57,100,10.83,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,69.12,60,1,11.5,clear sky
91,Flinders,AU,-34.5833,150.8552,70.18,87,97,11.01,overcast clouds
92,Port Hedland,AU,-20.3167,118.5667,84.25,89,23,4.61,few clouds
93,Charters Towers,AU,-20.1,146.2667,72.48,84,48,8.23,scattered clouds
94,Vila Velha,BR,-20.3297,-40.2925,78.75,82,20,14.97,few clouds
95,Hasaki,JP,35.7333,140.8333,34.2,75,100,30.71,snow
96,Redlands,US,34.0556,-117.1825,75.47,24,0,17.27,clear sky
97,Hilo,US,19.7297,-155.09,64.62,79,0,8.05,clear sky
98,Belaya Gora,RU,68.5333,146.4167,-41.44,99,32,3.83,scattered clouds
99,Two Hills,CA,53.7169,-111.7518,41.88,81,49,19.57,scattered clouds
100,Megion,RU,61.0296,76.1136,-3.98,98,53,6.78,broken clouds
101,Wageningen,NL,51.9667,5.6667,45.09,75,100,6.91,light rain
102,Stepnyak,KZ,52.8339,70.7803,-18.74,100,62,4.25,broken clouds
103,Hermanus,ZA,-34.4187,19.2345,67.8,75,0,6.51,clear sky
104,Sijunjung,ID,-0.6876,100.9537,70.05,89,99,0.85,overcast clouds
105,Jamestown,US,42.097,-79.2353,38.08,56,100,15.01,overcast clouds
106,Codrington,AU,-38.2667,141.9667,56.68,79,4,7.72,clear sky
107,Kwinana,AU,-32.25,115.7667,72.93,82,7,8.28,light rain
108,Moron,AR,-34.6534,-58.6198,88.95,47,0,7.0,clear sky
109,Gizo,SB,-8.103,156.8419,80.74,81,100,8.14,moderate rain
110,Dalbandin,PK,28.8947,64.4101,56.07,18,0,5.84,clear sky
111,Hobart,AU,-42.8794,147.3294,58.86,65,100,8.05,overcast clouds
112,Oksfjord,NO,70.2396,22.3479,26.78,76,99,11.18,overcast clouds
113,Arkhangelskoye,RU,55.8549,35.3287,28.54,93,96,10.47,overcast clouds
114,Mattru,SL,7.6244,-11.8332,89.51,47,1,8.37,clear sky
115,Kahului,US,20.8947,-156.47,71.83,78,0,9.22,clear sky
116,Indianola,US,41.3581,-93.5574,33.57,73,20,10.56,few clouds
117,Vaini,TO,-21.2,-175.2,80.53,80,77,23.02,light rain
118,Srednekolymsk,RU,67.45,153.6833,-39.53,99,71,5.37,broken clouds
119,Tilichiki,RU,60.4667,166.1,-15.34,78,13,7.29,few clouds
120,East London,ZA,-33.0153,27.9116,74.34,83,20,4.61,few clouds
121,Walvis Bay,NA,-22.9575,14.5053,74.08,74,15,8.57,few clouds
122,Jieshi,CN,22.8134,115.8257,61.95,84,89,20.04,overcast clouds
123,Souillac,MU,-20.5167,57.5167,79.18,83,75,3.44,light rain
124,Dikson,RU,73.5069,80.5464,4.73,94,90,29.04,overcast clouds
125,Mabaruma,GY,8.2,-59.7833,84.02,58,56,7.56,broken clouds
126,Masallatah,LY,32.6167,14.0,53.53,63,6,5.08,clear sky
127,Nemuro,JP,43.3236,145.575,23.11,73,45,5.08,scattered clouds
128,Aripuana,BR,-9.1667,-60.6333,86.23,65,72,3.53,light rain
129,Busselton,AU,-33.65,115.3333,69.08,73,4,7.58,clear sky
130,Rolla,US,37.9514,-91.7713,46.85,47,0,11.5,clear sky
131,Qurayyat,SA,31.3318,37.3428,48.38,66,40,6.91,scattered clouds
132,Meulaboh,ID,4.1363,96.1285,75.43,84,99,5.08,overcast clouds
133,Chuy,UY,-33.6971,-53.4616,79.56,47,10,13.67,clear sky
134,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.5,74,96,1.32,overcast clouds
135,Lichinga,MZ,-13.3128,35.2406,61.9,96,98,3.53,light rain
136,Tiarei,PF,-17.5333,-149.3333,80.62,77,38,12.33,scattered clouds
137,Tucupita,VE,9.0622,-62.051,84.02,56,77,6.4,broken clouds
138,Maceio,BR,-9.6658,-35.7353,90.84,51,40,16.11,scattered clouds
139,Znamenskoye,RU,57.1281,73.8282,-8.21,97,7,4.56,clear sky
140,Portoferraio,IT,42.8115,10.3146,54.97,76,0,0.0,clear sky
141,Qaanaaq,GL,77.484,-69.3632,-21.64,57,5,7.29,clear sky
142,Merauke,ID,-8.4667,140.3333,80.55,79,100,8.81,heavy intensity rain
143,Bubaque,GW,11.2833,-15.8333,79.66,70,3,13.02,clear sky
144,Lucea,JM,18.451,-78.1736,82.26,72,3,10.78,clear sky
145,Gambela,ET,8.25,34.5833,86.16,25,72,3.53,broken clouds
146,Lazaro Cardenas,MX,17.9583,-102.2,81.59,47,81,5.55,broken clouds
147,Ratnagiri,IN,16.9833,73.3,73.51,72,24,11.36,few clouds
148,Yar-Sale,RU,66.8333,70.8333,8.76,90,77,20.09,broken clouds
149,Ancud,CL,-41.8697,-73.8203,65.43,44,4,10.22,clear sky
150,Paamiut,GL,61.994,-49.6678,15.58,73,100,7.83,overcast clouds
151,Talnakh,RU,69.4865,88.3972,-2.79,95,93,11.03,overcast clouds
152,Quatre Cocos,MU,-20.2078,57.7625,78.91,80,16,7.38,few clouds
153,Fort-Shevchenko,KZ,44.5086,50.263,37.31,74,100,16.73,overcast clouds
154,Sinnamary,GF,5.3833,-52.95,81.36,72,37,9.44,scattered clouds
155,Cay,TR,38.5917,31.0286,25.54,77,3,6.4,clear sky
156,Carolina,PR,18.3808,-65.9574,85.1,57,20,16.11,few clouds
157,Cape Town,ZA,-33.9258,18.4232,73.35,50,0,14.97,clear sky
158,Karratha,AU,-20.7377,116.8463,84.25,74,7,9.69,clear sky
159,Tobermory,CA,45.2501,-81.6665,31.3,78,100,21.74,overcast clouds
160,Lebu,CL,-37.6167,-73.65,61.18,58,50,25.72,scattered clouds
161,Cam Ranh,VN,11.9214,109.1591,76.96,83,40,10.36,scattered clouds
162,Ketchikan,US,55.3422,-131.6461,39.18,75,100,5.75,overcast clouds
163,Naze,JP,28.3667,129.4833,55.29,67,81,11.16,broken clouds
164,Aginskoye,RU,51.1,114.53,-9.78,96,88,5.93,overcast clouds
165,Shache,CN,38.4167,77.2406,36.03,33,39,6.13,scattered clouds
166,Sur,OM,22.5667,59.5289,69.82,52,0,2.89,clear sky
167,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.43,69,100,2.64,overcast clouds
168,Tecoanapa,MX,16.5167,-98.75,82.4,53,95,8.46,overcast clouds
169,Ivanjica,RS,43.5803,20.2311,44.98,83,40,6.04,scattered clouds
170,Sulangan,PH,11.1373,123.7228,79.59,78,100,20.58,overcast clouds
171,Bonavista,CA,48.6499,-53.1147,38.12,80,62,1.68,broken clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,100,4.61,mist
173,Zabol,AF,32.25,67.25,36.63,50,0,6.44,clear sky
174,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,75,13.8,broken clouds
175,Raga,SS,8.4596,25.678,79.05,19,84,3.87,broken clouds
176,Berlevag,NO,70.8578,29.0864,22.8,79,0,17.27,clear sky
177,Haines Junction,CA,60.7522,-137.5108,-2.25,99,29,3.4,scattered clouds
178,Nanlong,CN,31.3533,106.0631,44.73,71,99,3.89,overcast clouds
179,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,3.44,light rain
180,Alofi,NU,-19.0595,-169.9187,75.09,94,67,3.44,broken clouds
181,Verkhnevilyuysk,RU,63.4453,120.3167,-34.71,100,54,2.42,broken clouds
182,Airai,TL,-8.9266,125.4092,60.76,97,100,1.14,overcast clouds
183,Tezu,IN,27.9167,96.1667,55.94,71,67,3.49,broken clouds
184,Marigot,MF,18.0667,-63.0833,83.98,66,40,12.66,scattered clouds
185,Zolotukhino,RU,52.0842,36.3772,35.67,95,84,9.04,broken clouds
186,Grindavik,IS,63.8424,-22.4338,32.47,80,75,18.41,snow
187,Rincon,US,32.296,-81.2354,66.94,32,0,4.61,clear sky
188,Lufilufi,WS,-13.8745,-171.5986,74.98,78,100,10.87,overcast clouds
189,Kieta,PG,-6.2167,155.6333,78.85,83,94,3.42,overcast clouds
190,Faanui,PF,-16.4833,-151.75,81.01,74,88,11.74,overcast clouds
191,Zelenoborskiy,RU,66.845,32.3622,21.83,97,100,5.17,light snow
192,Gourdon,FR,44.75,1.5,46.24,83,30,3.06,scattered clouds
193,Westport,US,41.1415,-73.3579,54.28,58,0,12.66,clear sky
194,Wladyslawowo,PL,54.7909,18.4009,40.01,82,100,13.49,overcast clouds
195,Bam,IR,29.106,58.357,59.41,26,0,4.68,clear sky
196,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,53,0,13.8,clear sky
197,Teguise,ES,29.0605,-13.564,66.42,73,0,5.75,clear sky
198,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.69,80,100,4.23,overcast clouds
199,Carnarvon,AU,-24.8667,113.6333,80.67,74,75,6.91,broken clouds
200,Arlit,NE,18.7369,7.3853,75.15,8,0,6.85,clear sky
201,Lazurne,UA,46.084,32.5295,39.02,84,99,10.16,overcast clouds
202,Puerto Leguizamo,CO,-0.1934,-74.7819,89.35,47,94,3.8,overcast clouds
203,Aykhal,RU,66.0,111.5,-8.59,93,100,5.44,overcast clouds
204,Bengkulu,ID,-3.8004,102.2655,75.72,76,100,4.81,overcast clouds
205,Xingyi,CN,24.1877,102.817,47.5,49,27,7.31,scattered clouds
206,Port Lincoln,AU,-34.7333,135.8667,61.29,72,14,13.13,few clouds
207,Port Blair,IN,11.6667,92.75,79.38,73,16,8.68,few clouds
208,Soyapango,SV,13.7347,-89.1514,84.47,57,2,4.14,clear sky
209,Shellbrook,CA,53.2168,-106.4011,38.43,98,100,20.51,overcast clouds
210,Saldanha,ZA,-33.0117,17.9442,71.65,80,4,11.72,clear sky
211,Kavieng,PG,-2.5744,150.7967,80.76,80,96,7.83,light rain
212,Havelock,US,34.8791,-76.9013,66.06,54,2,1.99,clear sky
213,Ahipara,NZ,-35.1667,173.1667,72.75,96,92,9.48,overcast clouds
214,Nizhniy Kuranakh,RU,58.8353,125.4869,-28.08,99,100,2.48,overcast clouds
215,Palmer,US,42.1584,-72.3287,51.48,67,75,10.36,broken clouds
216,Lata,PT,40.1629,-8.3327,63.72,49,99,4.03,overcast clouds
217,Atambua,ID,-9.1061,124.8925,71.55,92,100,1.1,light rain
218,Kawalu,ID,-7.3817,108.2082,73.36,93,100,2.1,overcast clouds
219,Russell,US,32.3502,-85.1999,66.38,38,0,0.0,clear sky
220,Hamilton,US,39.1834,-84.5333,45.0,62,40,12.66,scattered clouds
221,Tuatapere,NZ,-46.1333,167.6833,58.82,96,36,0.83,scattered clouds
222,Lavrentiya,RU,65.5833,-171.0,-30.41,96,52,4.85,broken clouds
223,Vicuna,CL,-30.0319,-70.7081,78.76,61,62,8.59,broken clouds
224,Guerrero Negro,MX,27.9769,-114.0611,69.37,35,0,1.12,clear sky
225,Ailigandi,PA,9.2333,-78.0167,80.6,82,72,13.78,broken clouds
226,Saskylakh,RU,71.9167,114.0833,4.37,95,100,13.76,light snow
227,Giyon,ET,8.5333,37.9833,68.18,46,74,2.93,broken clouds
228,Xining,CN,36.6167,101.7667,16.92,93,100,1.43,overcast clouds
229,Victoria,HK,22.2855,114.1577,64.45,87,100,11.99,overcast clouds
230,Okhotsk,RU,59.3833,143.3,5.09,89,100,4.85,overcast clouds
231,Atar,MR,20.5169,-13.0499,84.13,9,69,18.19,broken clouds
232,Santa Pola,ES,38.1917,-0.5658,58.75,76,20,4.61,few clouds
233,Pangnirtung,CA,66.1451,-65.7125,-9.4,59,100,2.3,overcast clouds
234,Basco,PH,20.4487,121.9702,74.34,80,73,20.33,broken clouds
235,Atasu,KZ,48.6814,71.6433,-1.93,99,35,5.06,scattered clouds
236,La Palma,US,33.8464,-118.0467,81.41,23,0,14.97,clear sky
237,Wanaka,NZ,-44.7,169.15,54.79,85,0,2.53,clear sky
238,Alyangula,AU,-13.8483,136.4192,76.87,100,65,0.0,broken clouds
239,Changping,CN,40.2186,116.2197,22.64,39,9,5.88,clear sky
240,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,1.14,broken clouds
241,Bilma,NE,18.6853,12.9164,71.51,12,0,5.21,clear sky
242,Usinsk,RU,65.9939,57.5281,23.5,90,100,24.63,overcast clouds
243,Kuala Terengganu,MY,5.3302,103.1408,75.15,100,40,3.44,moderate rain
244,Bar Harbor,US,44.3876,-68.2039,44.91,84,100,16.11,overcast clouds
245,Mehamn,NO,71.0357,27.8492,24.98,79,0,13.8,clear sky
246,Chimala,TZ,-8.85,34.0167,66.47,97,100,1.39,moderate rain
247,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,80,40,20.71,scattered clouds
248,Kurumkan,RU,54.3,110.3,-14.15,89,50,5.5,scattered clouds
249,Portland,US,45.5234,-122.6762,49.95,93,100,5.01,mist
250,Ust-Ishim,RU,57.6935,71.1665,-5.64,98,9,5.01,clear sky
251,Rancho Palos Verdes,US,33.7445,-118.387,82.18,31,0,6.91,clear sky
252,Taltal,CL,-25.4,-70.4833,68.63,72,6,6.51,clear sky
253,Porto Novo,BJ,6.4965,2.6036,85.82,75,1,9.13,clear sky
254,Hervey Bay,AU,-25.2986,152.8535,68.11,74,0,12.88,clear sky
255,Pizarro,CO,4.9533,-77.366,79.5,86,100,7.67,moderate rain
256,Paez,CO,5.1011,-73.0512,74.86,64,100,4.7,overcast clouds
257,Kilindoni,TZ,-7.9139,39.6668,81.54,78,83,13.22,broken clouds
258,Manokwari,ID,-0.8667,134.0833,77.5,79,100,4.12,overcast clouds
259,Porto Belo,BR,-27.1578,-48.5531,85.62,65,13,10.29,few clouds
260,Aklavik,CA,68.2191,-135.0107,-17.57,69,100,5.75,light snow
261,Aksu,CN,41.1231,80.2644,27.43,44,83,4.72,broken clouds
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.79,86,100,6.91,overcast clouds
263,Siilinjarvi,FI,63.0833,27.6667,30.22,86,100,8.05,overcast clouds
264,Vagur,FO,61.4732,-6.8119,36.14,50,99,13.87,overcast clouds
265,Stornoway,GB,58.2093,-6.3865,37.36,77,40,9.22,scattered clouds
266,Lar,IN,26.2039,83.9717,57.24,75,0,8.12,clear sky
267,Teguldet,RU,57.3064,88.1667,-16.29,100,32,2.62,scattered clouds
268,Blackwater,AU,-23.5833,148.8833,70.2,75,0,5.86,clear sky
269,Umba,RU,66.6871,34.3429,26.46,95,100,9.13,light snow
270,Tenango,MX,18.65,-98.1833,68.83,36,48,8.12,scattered clouds
271,Noumea,NC,-22.2763,166.4572,80.01,99,100,31.65,moderate rain
272,Nantucket,US,41.2835,-70.0995,51.62,78,0,16.11,clear sky
273,Shelburne,CA,44.0787,-80.2041,30.96,86,83,16.35,broken clouds
274,Half Moon Bay,US,37.4636,-122.4286,70.92,50,20,6.91,few clouds
275,Adrar,MR,20.5022,-10.0711,79.47,11,42,19.1,scattered clouds
276,Tiksi,RU,71.6872,128.8694,-11.81,93,100,15.41,overcast clouds
277,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,91,100,7.2,overcast clouds
278,Uarini,BR,-2.99,-65.1083,89.55,72,91,1.59,overcast clouds
279,Hobyo,SO,5.3505,48.5268,76.39,67,86,21.14,overcast clouds
280,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,75,6.91,broken clouds
281,Mar Del Plata,AR,-38.0023,-57.5575,82.42,65,0,18.99,clear sky
282,Cairns,AU,-16.9167,145.7667,76.06,96,10,1.14,clear sky
283,San Pedro,PH,14.35,121.0167,78.35,77,75,9.22,broken clouds
284,Goba,ET,7.0167,39.9833,54.0,50,51,3.65,broken clouds
285,Tagusao,PH,9.1924,117.8141,77.88,79,87,4.5,overcast clouds
286,Pevek,RU,69.7008,170.3133,-33.14,100,100,7.61,overcast clouds
287,Namatanai,PG,-3.6667,152.4333,79.09,84,90,3.53,light rain
288,Cumra,TR,37.5732,32.7745,32.14,88,56,4.74,broken clouds
289,Taveta,KE,-3.3963,37.6736,81.99,48,74,9.22,broken clouds
290,Maniitsoq,GL,65.4167,-52.9,14.14,91,100,6.35,overcast clouds
291,Christchurch,NZ,-43.5333,172.6333,63.03,95,100,3.0,mist
292,Auxerre,FR,47.8,3.5667,45.63,94,100,5.68,overcast clouds
293,Murud,IN,18.3258,72.965,71.91,70,9,5.97,clear sky
294,Sapele,NG,5.8941,5.6767,86.97,50,40,8.86,scattered clouds
295,Santa Maria,BR,-29.6842,-53.8069,88.9,40,20,10.36,few clouds
296,Nakamura,JP,32.9833,132.9333,39.25,87,6,5.21,clear sky
297,Coquimbo,CL,-29.9533,-71.3436,67.73,72,100,8.05,overcast clouds
298,Leh,IN,34.1667,77.5833,-2.09,92,100,1.25,overcast clouds
299,Komsomolskiy,UZ,40.4272,71.7189,36.82,69,49,4.61,scattered clouds
300,Padang,ID,-0.9492,100.3543,77.58,78,99,3.33,heavy intensity rain
301,College,US,64.8569,-147.8028,-7.71,77,100,3.44,light snow
302,Narsaq,GL,60.9167,-46.05,8.82,65,27,7.36,scattered clouds
303,Kinshasa,CD,-4.3246,15.3215,84.52,74,20,5.75,few clouds
304,Taoudenni,ML,22.6783,-3.9836,73.02,13,21,12.91,few clouds
305,Uyuni,BO,-20.4597,-66.825,62.69,22,1,15.1,clear sky
306,Makakilo City,US,21.3469,-158.0858,71.92,78,0,5.75,clear sky
307,Tasiilaq,GL,65.6145,-37.6368,21.36,59,29,6.96,scattered clouds
308,Pare,ID,-7.7679,112.198,72.68,93,100,2.68,overcast clouds
309,Nanortalik,GL,60.1432,-45.2371,26.22,58,81,7.94,broken clouds
310,Kodiak,US,57.79,-152.4072,15.31,79,0,6.91,clear sky
311,Mosetse,BW,-20.75,26.65,75.56,58,78,5.95,broken clouds
312,Monterey,US,36.2505,-121.2516,58.1,28,0,2.15,clear sky
313,Nisia Floresta,BR,-6.0911,-35.2086,88.61,47,58,11.5,broken clouds
314,Bethel,US,41.3712,-73.414,52.11,54,0,14.97,clear sky
315,San Jose,US,37.3394,-121.895,71.42,49,0,1.01,clear sky
316,Nechi,CO,8.0942,-74.7757,90.3,57,75,1.63,broken clouds
317,Saint George,US,37.1041,-113.5841,56.62,36,0,3.0,clear sky
318,Luwingu,ZM,-10.2621,29.9271,64.36,94,84,2.35,light rain
319,Longview,US,32.5007,-94.7405,68.07,27,0,1.01,clear sky
320,Axim,GH,4.8699,-2.2405,81.01,79,10,9.06,clear sky
321,Preobrazheniye,RU,42.9019,133.9064,25.63,78,26,3.47,scattered clouds
322,Ulaangom,MN,49.9811,92.0667,-23.57,89,79,3.87,broken clouds
323,Hvide Sande,DK,56.0045,8.1294,39.99,77,25,18.12,scattered clouds
324,Lewisporte,CA,49.2499,-55.0482,37.11,79,78,4.05,broken clouds
325,Denizli,TR,37.8402,29.0698,40.05,71,0,2.53,clear sky
326,Allanridge,ZA,-27.7543,26.6438,75.6,69,74,5.23,broken clouds
327,Luderitz,NA,-26.6481,15.1594,74.89,50,4,22.95,clear sky
328,Tabas,IR,33.5959,56.9244,56.71,24,2,2.77,clear sky
329,Korla,CN,41.7597,86.1469,28.18,45,77,3.09,broken clouds
330,Pisco,PE,-13.7,-76.2167,78.03,69,0,10.36,clear sky
